"Codigo da obra";"Titulo Original";"Titulo no Brasil";"Ano de produc?o";"Diretor";"Raz?o Social do Requerente";"CNPJ Requerente";"Data de liberac?o p exibic?o"
"354704";"PAULO GRACINDO - O BEM AMADO";"PAULO GRACINDO - O BEM AMADO";"2007";"EPAMINONDAS XAVIER GRACINDO";"ESTAÇÃO CINEMA E CULTURA LTDA";"02.745.624/0001-63";"07-MAY-09"
"271982";"VIOLADAS VOLUME 9";"VIOLADAS VOLUME 9";"2005";"M. MAX";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"26-MAY-08"
"304568";"ÚLTIMA PARADA - 174";"ÚLTIMA PARADA - 174";"2008";"BRUNO VILLELA BARRETO BORGES";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"10-SEP-08"
"312295";"TITÃS - A VIDA ATÉ PARECE UMA FESTA";"TITÃS - A VIDA ATÉ PARECE UMA FESTA";"2008";"OSCAR RODRIGUES ALVES NETO";"INK GERAÇÃO E PRODUÇÃO DE CONTEÚDOS LTDA";"68.153.956/0001-67";"16-OCT-08"
"312295";"TITÃS - A VIDA ATÉ PARECE UMA FESTA";"TITÃS - A VIDA ATÉ PARECE UMA FESTA";"2008";"JOAQUIM CLAUDIO CORREA DE MELLO JUNIOR";"INK GERAÇÃO E PRODUÇÃO DE CONTEÚDOS LTDA";"68.153.956/0001-67";"16-OCT-08"
"16006209";"ROGUE";"MORTE SÚBITA";"2007";"GREG MACLEAN";"PLAYARTE PICTURES ENTRETENIMENTOS LTDA.";"00.943.231/0001-39";"30-SEP-08"
"16006394";"W.";"W.";"2008";"OLIVER STONE";"ESTAÇÃO CINEMA E CULTURA LTDA";"02.745.624/0001-63";"19-MAR-09"
"350175";"HABLE CON ELLA";"FALE COM ELA";"2002";"PEDRO ALMODOVAR";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"29-MAR-11"
"15005879";"UP";"UP: ALTAS AVENTURAS";"2009";"BOB PETERSON";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"20-MAR-09"
"16005504";"AMERICAN TEEN";"ADOLESCÊNCIA AMERICANA";"2008";"NANETTE BURSTEIN";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"04-MAY-09"
"360732";"EROTIC  CABARET";"A BALADA ERÓTICA";"2006";"OTTO BAUER";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"29-APR-09"
"373487";"SE EU COMESSE VOCÊ";"SE EU COMESSE VOCÊ";"2009";"M. MAX";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"01-OCT-09"
"373512";"EXPLORAÇÃO ANAL VOLUME 3";"EXPLORAÇÃO ANAL VOLUME 3";"2009";"M. MAX";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"26-NOV-09"
"16005764";"EASY VIRTUE";"BONS COSTUMES";"2008";"STEPHAN ELLIOTT";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"06-OCT-09"
"14027948";"THE PRINCESS & THE FROG";"A PRINCESA E O SAPO";"2009";"RON CLEMENTS";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"23-OCT-09"
"15004305";"CREATION";"CRIAÇÃO";"2009";"JON AMIEL";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"21-JAN-10"
"15003904";"HURT LOCKER, THE";"GUERRA AO TERROR";"2008";"KATHRYN BIGELOW";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"18-DEC-09"
"16005829";"EXTRACT";"MARÉ DE AZAR";"2009";"MIKE JUDGE";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"10-FEB-10"
"16006126";"PECADOS DE MI PADRE";"PECADOS DO MEU PAI";"2009";"NICOLÁS ENTEL";"SERENDIP FILMES LTDA";"06.911.780/0001-08";"03-MAY-10"
"16006010";"LE DERNIER POUR LA ROUTE";"UM NOVO CAMINHO";"2009";"PHILIPPE GODEAU";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"12-MAY-10"
"16005419";"GOING THE DISTANCE";"COM O PÉ NA ESTRADA";"2004";"MARK GRIFFITHS";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"03-JUN-15"
"16006282";"TELL TALE";"INSTINTO DE VINGANÇA";"2009";"MICHAEL CUESTA";"PLAYARTE PICTURES ENTRETENIMENTOS LTDA.";"00.943.231/0001-39";"03-JUN-15"
"16004017";"SOLOMON KANE";"SOLOMON KANE - O CAÇADOR DE DEMÔNIOS";"2009";"MICHAEL J. BASSETT";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"03-AUG-10"
"15004265";"MY SOUL TO TAKE";"A SÉTIMA ALMA";"2010";"WES CRAVEN";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"03-SEP-10"
"16006071";"MAMMUTH";"MAMUTE";"2010";"BENOÎT DELÉPINE;GUSTAVE DE KERVERN";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"09-SEP-10"
"14026039";"SOMEWHERE";"UM LUGAR QUALQUER";"2010";"SOFIA COPPOLA";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"03-JUN-15"
"527673";"ESPERANDO TELÊ";"ESPERANDO TELÊ";"2009";"TALES AFONSO MUXFELDT AB´SABER";"CONFEITARIA DE CINEMA COMUNICAÇÕES LTDA";"58.496.571/0001-49";"30-MAR-11"
"16002475";"ANIMALS UNITED";"ANIMAIS UNIDOS JAMAIS SERÃO VENCIDOS";"2010";"REINHARD KLOOSS, HOLGER TAPPE";"PLAYARTE PICTURES ENTRETENIMENTOS LTDA.";"00.943.231/0001-39";"26-JAN-11"
"16001364";"CONTRACORRIENTE";"CONTRACORRENTE";"2009";"JAVIER FUENTES - LEÓN";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"03-JUN-15"
